Country,Facility,Facility Type,Lat,Lon,Description,Date,Capacity,Source URL,Attack Happened,Notes
Saudi Arabia,Ju'aymah LPG,Gas,26.7904,50.007,Aramco halted Juaymah LPG exports after system damage; mostly propane and butane production.,2026-02-26,No info found,https://www.agbi.com/oil-and-gas/2026/02/aramco-halts-juaymah-lpg-exports-after-system-damage/,TRUE,
Iran,Abadan Oil Refinery (Khuzestan),Oil,30.3392,48.3043,Israeli air strikes targeted Iran's largest oil refinery as part of the opening days of the coordinated US-Israeli campaign.,2026-02-28,"~400,000-500,000 b/d (Iran's largest refinery)",https://www.globalsecurity.org/military/world/iran/abadan-city.htm,TRUE,Exact strike date approximate; confirmed by Khuzestan provincial officials
Russia,Yaroslavl Refinery,Oil,57.5528,39.8097,Drone-linked fires damaged operational units.,2026-03-01,No info found,https://kyivindependent.com/fire-reported-at-yaroslavl-oil-refinery-as-ukrainian-drones-strike-several-russian-regions-target-occupied-crimea/,TRUE,First of four reported 2026 strikes on this facility
Iraq,Majnoon Oil Field,Oil,31.1167,47.6,Basra Oil production process shut or in process of shutting.,2026-03-01,No info found,https://www.wsj.com/livecoverage/iran-war-us-israel-latest-news-2026/card/iraq-says-majnoon-oil-field-targeted-by-drone-strike-qd2TYUqgRMjP2ScD4ZZh,TRUE,
UAE,Das Island LNG,Gas,25.15,52.8667,Precautionary shutdowns across offshore UAE.,2026-03-01,back online,https://investinglive.com/news/uae-resumes-operations-at-its-largest-gas-processing-facility-after-shutdown-last-week-20260323/,TRUE,
Saudi Arabia,Ras Tanura,Oil,26.7867,50.1167,Drone debris caused fire at storage tanks; shut for precautionary measures.,2026-03-02,"550,000 b/d",https://www.aljazeera.com/news/2026/3/2/qatarenergy-worlds-largest-lng-firm-halts-production-after-iran-attacks,TRUE,
Qatar,Ras Laffan LNG,Gas,25.9148,51.5741,Force majeure declared after missile attacks on production trains.,2026-03-02,17% of total capacity,https://www.reuters.com/business/energy/iran-attack-damage-wipes-out-17-qatars-lng-capacity-three-five-years-qatarenergy-2026-03-19/,TRUE,
Iran,Tehran Fuel Depots (Shahran, Rey, Aghdasieh, Karaj),Oil,35.7857,51.3347,Israeli air force struck roughly 30 fuel storage complexes across Tehran in a single wave; large fires and toxic smoke blanketed the capital for hours.,2026-03-08,No info found,https://www.axios.com/2026/03/08/us-dismayed-israel-iran-fuel-strikes,TRUE,Some reporting also lists the adjacent Tehran refinery among targeted sites while Iranian state media said the refinery itself was undamaged; approximate coordinates
Bahrain,Bapco Energies,Oil,26.1267,50.6067,Force majeure declared after drone strike set Al-Ma'ameer facility ablaze.,2026-03-09,"405,000 b/d",https://www.timesofisrael.com/liveblog_entry/bahrain-says-fire-at-bapco-energies-refinery-after-iranian-missile-strike-contained-operations-continue/,TRUE,
Iraq,Lanaz Refinery,Oil,36.1911,44.0092,Drone strike sparked a massive fire in fuel storage tanks.,2026-03-14,No info found,https://www.jpost.com/middle-east/iran-news/article-889921,TRUE,Coordinates are approximate (near Erbil)
UAE,Shah Gas Field,Gas,22.95,53.95,Drone attack caused suspension of operations.,2026-03-16,No info found,https://www.reuters.com/business/energy/operations-uaes-shah-gas-field-suspended-after-drone-attack-media-office-says-2026-03-16/,TRUE,
Qatar,Shell Pearl GTL,Gas,25.905,51.5054,"Sustained ""extensive damage"" due to missile attacks; repairs may take years.",2026-03-18,"140,000 b/d",https://www.reuters.com/business/energy/shells-pearl-gtl-facility-qatar-stops-production-after-attacks-2026-03-19/,TRUE,
Iran,South Pars (North Dome),Gas,27.3208,52.3439,Israeli airstrike targeted facilities at the world's largest gas field.,2026-03-18,0.1 bcm/d,https://www.aljazeera.com/news/2026/3/19/iran-attacks-cut-17-of-qatars-lng-capacity-for-up-to-5-years-qatarenergy,TRUE,
Iran,South Pars (SPGC site),Gas,27.4921,52.628,Israeli airstrike targeted facilities at the world's largest gas field.,2026-03-18,No info found,https://www.aljazeera.com/news/2026/3/19/iran-attacks-cut-17-of-qatars-lng-capacity-for-up-to-5-years-qatarenergy,TRUE,
Saudi Arabia,SAMREF Refinery,Oil,23.95,38.2167,Drone struck refinery; damage assessment underway with minimal initial impact.,2026-03-19,"~400,000 b/d",https://mezha.net/eng/bukvy/drone_struck_samref/,TRUE,
Israel,Haifa Oil Refinery (Bazan Group),Oil,32.794,35.0423,Iranian missile attack struck the refinery in retaliation for Israel's strike on Iran's South Pars gas field; energy minister reported no significant damage and brief power disruption.,2026-03-19,No info found,https://www.aljazeera.com/news/2026/3/19/israel-says-oil-refinery-hit-in-iranian-missile-attack-no-major-damage,TRUE,
USA,Valero Port Arthur,Oil,29.8972,-93.9317,Major explosion triggered evacuations and prolonged flaring; operations restricted.,Late March 2026,No info found,https://www.trtworld.com/article/d93ddad90806,FALSE,No evidence of external attack; industrial incident
Russia,Port of Ust-Luga,Oil,59.6917,28.4239,Multiple drone strikes triggered fires; destroyed at least one oil-loading berth.,"March 22–31, 2026","~700,000 b/d",https://www.bbc.com/news/articles/c9qdwpnwzwpo,TRUE,
Russia,Kirishi Oil Refinery,Oil,59.4528,32.3275,Large-scale drone attack hit primary processing units (ELOU-AVT-2/6).,2026-03-26,"~350,000 b/d (Full Halt)",https://www.cbc.ca/news/world/ukraine-drones-russia-oil-refinery-1.7633534,TRUE,
Russia,Port of Primorsk,Oil,60.3667,28.6,Drone strikes caused fuel leaks and reservoir fires; shrapnel hit fuel reservoirs.,2026-03-29,"~40% of storage (~400,000 b/d)",https://www.aljazeera.com/news/2026/4/5/drone-attacks-hit-russian-oil-infrastructure-leak-and-fires-reported,TRUE,
Australia,Geelong Oil Refinery,Oil,-38.0872,144.38,Attributed to technical failures amidst broader energy sector pressure.,2026-04-01,No info found,https://www.trtworld.com/article/d93ddad90806,FALSE,No evidence of external attack; described as a technical failure
India,HPCL Rajasthan Refinery Limited (HRRL),Oil,25.9189,72.2353,Fire broke out at the new Pachpadra facility ahead of its inauguration.,2026-04-01,No info found,https://indianexpress.com/article/business/hpcl-rajasthan-refinery-fire-pm-modi-inauguration-postponed-probe-team-10648652/,FALSE,No evidence of external attack; industrial incident under investigation
UAE,Habshan Gas,Gas,23.6333,53.6,Falling debris from intercepted missiles caused fires and significant damage.,2026-04-03,0.173 bcm/d,https://www.bloomberg.com/news/articles/2026-04-03/abu-dhabi-halts-operations-at-main-gas-facility-after-attack,TRUE,
Kuwait,Mina Al-Ahmadi,Oil,29.0667,48.1333,Drone strike hit several operational units; second attack in weeks.,2026-04-03,"730,000 b/d",https://www.reuters.com/world/middle-east/drones-hit-kuwaits-mina-al-ahmadi-refinery-fires-reported-no-injuries-2026-04-03/,TRUE,
Russia,NORSI Refinery,Oil,56.1264,44.1736,Suspended operations following a Ukrainian drone attack that hit primary units.,2026-04-05,"~320,000 b/d",https://www.aljazeera.com/news/2026/4/5/drone-attacks-hit-russian-oil-infrastructure-leak-and-fires-reported,TRUE,First of two reported 2026 strikes on this facility
UAE,Ruwais Refinery,Oil,24.1167,52.7333,Multiple fires caused by falling drone debris; operations shut as precaution.,2026-04-05,"922,000 b/d",https://internationalfireandsafetyjournal.com/iran-missile-interception/,TRUE,
Bahrain,Gulf Petrochemicals,Gas/Petrochemical,26.1333,50.6333,Operational units caught fire after drone attacks.,2026-04-05,No info found,https://www.reuters.com/business/energy/bahrains-gulf-petrochemical-industries-says-fire-under-control-units-after-iran-2026-04-05/,TRUE,
Kuwait,KNPC & PIC (unspecified),Oil,29.3759,47.9774,Multiple operational facilities targeted; fires and significant material damage.,2026-04-05,No info found,https://kuwaittimes.com/article/41885/kuwait/kpc-reports-drone-attack-on-facilities-no-casualties/,TRUE,Coordinates are approximate for Kuwait City area
Saudi Arabia,Satorp Refinery,Oil,27.05,49.5667,Damage to one of two processing trains prompted a precautionary shutdown.,"April 7–8, 2026","460,000 b/d",https://www.argusmedia.com/,TRUE,
Saudi Arabia,East-West Pipeline (Pumping Station 1),Pipeline,24.3,44.3,Drone strike on a pumping station near Riyadh; flows disrupted.,2026-04-08,"700,000 b/d disrupted",https://www.cnbc.com/2026/04/09/iran-war-oil-saudi-arabia-east-west-pipeline.html,TRUE,Approximate coordinates
