Unit ID,Unit Name,Unit name local script,Fuel type,Country/Area,Subnational unit,Production Type,Status,Status detail,Status year,Discovery year,FID Year,Production start year,Operator,Owner(s),Parent(s),Government unit ID,Wiki URL (project),Wiki URL (field),Name Other,Latitude,Longitude,Location accuracy,Onshore/Offshore,Field outline (WKT),Basin,Block(s)
L100000321006,"10097UUU/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/10097UUU/Athabasca_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000321014,"10103FF/Cold Lake Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Strathcona Resources,,,,https://www.gem.wiki/Cold_Lake_Oil_Project_(Canada),"https://www.gem.wiki/10103FF/Cold_Lake_Oil_Asset_(Alberta,_Canada)",,54.5340000,-110.3941000,exact,onshore,,,
L100000309306,"10159A/Athabasca Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,unconventional,,,,,,,MEG Energy,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/10159A/Athabasca_Oil_and_Gas_Asset_(Alberta,_Canada)",,55.6680000,-110.7500000,exact,onshore,,,
L100000309313,"10419Hh/Athabasca Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,unconventional,,,,,,,Husky Oil Operations Limited,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/10419Hh/Athabasca_Oil_and_Gas_Asset_(Alberta,_Canada)",,57.2220000,-111.0320000,exact,onshore,,,
L100000321011,"10419YY/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Cenovus Energy,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/10419YY/Athabasca_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000321019,"10423CC/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/10423CC/Athabasca_Oil_Asset_(Alberta,_Canada)",,55.9984000,-113.4470000,exact,onshore,,,
L100000321042,"10557K/Peace River Area 2 Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Canadian Natural Upgrading,,,,https://www.gem.wiki/Peace_River_Area_2_Oil_Project_(Canada),"https://www.gem.wiki/10557K/Peace_River_Area_2_Oil_Asset_(Alberta,_Canada)",,56.3137000,-116.6048000,exact,onshore,,,
L100000321020,"10587DD/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Connacher Oil And Gas,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/10587DD/Athabasca_Oil_Asset_(Alberta,_Canada)",,56.1231000,-111.7499000,exact,onshore,,,
L100000309324,"10618H/Cold Lake Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,unconventional,,,,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Cold_Lake_Oil_Project_(Canada),"https://www.gem.wiki/10618H/Cold_Lake_Oil_and_Gas_Asset_(Alberta,_Canada)",,53.6890000,-110.8740000,exact,onshore,,,
L100000309329,"10745D/Peace River Area 2 Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Obsidian Energy,,,,https://www.gem.wiki/Peace_River_Area_2_Oil_Project_(Canada),"https://www.gem.wiki/10745D/Peace_River_Area_2_Oil_Asset_(Alberta,_Canada)",,56.2260000,-116.8030000,exact,onshore,,,
L100000321007,"10773QQQ/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,MEG Energy,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/10773QQQ/Athabasca_Oil_Asset_(Alberta,_Canada)",,55.6779000,-110.7372000,exact,onshore,,,
L100000309639,"10781O/Fort Hills/Kearl Lake Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,,,,,,,2018,Syncrude Canada Ltd - Aurora,,,,https://www.gem.wiki/10781O/Fort_Hills/Kearl_Lake/_Project_(),"https://www.gem.wiki/10781O/Fort_Hills/Kearl_Lake_Oil_and_Gas_Asset_(Alberta,_Canada)",,,,,unknown,,,
L100000321026,"10787R/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/10787R/Athabasca_Oil_Asset_(Alberta,_Canada)",,55.9682000,-113.2379000,exact,onshore,,,
L100000309334,"10828E/Cold Lake Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Cold_Lake_Oil_Project_(Canada),"https://www.gem.wiki/10828E/Cold_Lake_Oil_Asset_(Alberta,_Canada)",,53.7590000,-110.1190000,exact,onshore,,,
L100000309640,"10829L/Kearl Lake Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,,,,,,,,Imperial Oil Resources Ltd - Kearl,,,,https://www.gem.wiki/10829L/Kearl_Lake/_Project_(),"https://www.gem.wiki/10829L/Kearl_Lake_Oil_and_Gas_Asset_(Alberta,_Canada)",,,,,unknown,,,
L100000321013,"10935EE/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Athabasca Oil,,,,https://www.gem.wiki/10935EE/Athabasca_Project_(),"https://www.gem.wiki/10935EE/Athabasca_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000321041,"11060K/Peace River Area 2 Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Obsidian Energy,,,,https://www.gem.wiki/Peace_River_Area_2_Oil_Project_(Canada),"https://www.gem.wiki/11060K/Peace_River_Area_2_Oil_Asset_(Alberta,_Canada)",,56.1402000,-116.6716000,exact,onshore,,,
L100000309345,"11191C/Cold Lake Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,West Lake Energy,,,,https://www.gem.wiki/Cold_Lake_Oil_Project_(Canada),"https://www.gem.wiki/11191C/Cold_Lake_Oil_Asset_(Alberta,_Canada)",,53.5480000,-110.8170000,exact,onshore,,,
