Project ID,Project Name,Project local script,Fuel type,Country/Area,Subnational unit,Production Type,Status,Status detail,Status year,Discovery year,FID Year,Production start year,Operator,Owner(s),Parent(s),Government unit ID,Units (list of IDs),Wiki URL (project),Name Other,Latitude,Longitude,Location accuracy,Project location type,Onshore/Offshore,Project outline (WKT),Basin,Block(s)
L100000312600,Adrar Oil and Gas Project (Algeria),,oil and gas,Algeria,,conventional,operating,,2023,1980,,,China National Petroleum,China National Petroleum Corp [70%],China National Petroleum Corp [70.0%],,L100000312600,https://www.gem.wiki/Adrar_Oil_and_Gas_Project_(Algeria),Adrar Integrated Project,25.8240000,1.7990000,exact,project level location,onshore,,,
L100000310966,Agbami Oil and Gas Project (Nigeria),,oil and gas,Nigeria,,conventional,operating,,2024,1998,,2008,,,,,"L100001061482, L100001061483",https://www.gem.wiki/Agbami_Oil_and_Gas_Project_(Nigeria),Agbami-Ekoli,,,,,offshore,,,OML 127; OML 128; PML 52
L100000324599,Ahvaz Oil Project (Iran),,oil,Iran,,conventional,operating,,2025,1953,,1954,Karoon Oil and Gas Production,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],,"L100000312129, L100000312143",https://www.gem.wiki/Ahvaz_Oil_Project_(Iran),Ahwaz,31.2916408,48.7572266,approximate,project level location,onshore,"MULTIPOLYGON (((48.4920330296193 31.496375489121,48.5243481209254 31.4853531545026,48.7228551103773 31.3435218135508,48.7893318696356 31.3017195266765,48.8535004080862 31.2677908308325,48.9199771673445 31.2176645091859,48.9887621474104 31.1639564442395,49.0266169686547 31.1145655455845,49.0146142204553 31.0706848731953,48.9859922824413 31.0778020345669,48.932903203867 31.1355104277112,48.8548853405708 31.2137164250656,48.7833304955358 31.2571362807128,48.6739208292566 31.3143410406337,48.5811303527919 31.3754525564795,48.5220399001178 31.4117064151086,48.4814152139044 31.4656671838189,48.4929563179423 31.4955882225836,48.4920330296193 31.496375489121)))",,
L100000314030,"Aishwariya Barmer Hill Oil Project (Rajasthan, India)",,oil,India,Rajasthan,unconventional,operating,,2021,,,2021,Vedanta,Oil and Natural Gas Corporation Ltd [30%]; Vedanta Ltd [70%],Vedanta Ltd [70.0%]; Oil and Natural Gas Corporation Ltd [30.0%],,,"https://www.gem.wiki/Aishwariya_Barmer_Hill_Oil_Project_(Rajasthan,_India)","Aishwarya-4, Barmer Hill and Satellites, Aishwariya",26.5646000,73.8344000,approximate,project level location,onshore,,Rajasthan,RJ-ON-90/1
L100000304819,"Akacias Oil Project (Meta, Colombia)",Akacias,oil,Colombia,Meta,conventional,operating,,2024,,,,Ecopetrol,Ecopetrol SA [100%],Ecopetrol SA [100.0%],,"L100000302776, L100000304819, L100000302777","https://www.gem.wiki/Akacias_Oil_Project_(Meta,_Colombia)",Akacias Phase 1,3.9540000,-73.7350000,exact,project level location,onshore,,,Cpo 9
L100000313001,"Alpine Satellites Oil Project (Alaska, United States)",,oil,United States,Alaska,conventional,operating,,2021,,,2006,ConocoPhillips,ConocoPhillips Corp [100%],ConocoPhillips Corp [100.0%],,"L100000313001, L100000317030, L100000317029, L100000317028","https://www.gem.wiki/Alpine_Satellites_Oil_Project_(Alaska,_United_States)",,70.2948000,-151.6202000,approximate,project level location,onshore,,,
L100000320899,Amal Steam Project Oil Project (Oman),,oil,Oman,,conventional,operating,,2024,1972,,1984,Petroleum Development Oman,Petroleum Development Oman LLC [100%],Energy Development Oman SAOC [60.0%]; Shell PLC [34.0%]; small shareholder(s) [6.0%],,"L100000320899, L100000312509, L100000312510",https://www.gem.wiki/Amal_Steam_Project_Oil_Project_(Oman),,20.3293000,56.0697000,approximate,project level location,onshore,,,Block 6
L100000323477,Amangeldinskaya group Oil and Gas Project (Kazakhstan),Амангельдинская группа месторождений,oil and gas,Kazakhstan,,conventional,operating,,,,,,QazaqGas,QazaqGas [100%],QazaqGas [100.0%],,"L100000312687, L100000312685, L100000323477, L100000312686",https://www.gem.wiki/Amangeldinskaya_group_Oil_and_Gas_Project_(Kazakhstan),,44.3370000,71.0854000,approximate,project level location,onshore,,Chu-Sarysu,
L100001061729,Amatu-Akarino Oil and Gas Project (Nigeria),,oil and gas,Nigeria,,,in-development,,2024,,2024,,,,,,,https://www.gem.wiki/Amatu-Akarino_Oil_and_Gas_Project_(Nigeria),,,,,,offshore,,,OML 136
L100000310986,Amoji/Matsogo/Igbolo Gas Project (Nigeria),,gas,Nigeria,,conventional,operating,,2013,,,,Chorus Energy,Chorus Energy Ltd [100%],Chorus Energy Ltd [100.0%],,"L100000317032, L100000317033, L100000317031, L100000310986",https://www.gem.wiki/Amoji/Matsogo/Igbolo_Gas_Project_(Nigeria),,,,,,onshore,,,OML 152; OML 56; PML 8
L100001062749,Anambas Block Oil and Gas Project (Indonesia),,oil and gas,Indonesia,,,discovered,,2022,2022,,,KUFPEC Indonesia (Anambas),KUFPEC Indonesia (Anambas) BV [100%],KUFPEC Indonesia (Anambas) BV [100.0%],,,https://www.gem.wiki/Anambas_Block_Oil_and_Gas_Project_(Indonesia),,4.6340000,105.6760000,approximate,project level location,offshore,"MULTIPOLYGON (((105.351969 4.864219,105.351939 4.713061,105.392061 4.666669,105.5 4.666669,105.5 4.75,105.61195 4.75,105.640369 4.77595,105.75 4.883331,105.936361 4.836561,106.015081 4.810061,105.993331 4.756811,106.04305 4.729775,106.107031 4.776356,106.238558 4.754544,106.033331 4.666669,105.833339 4.666669,105.833339 4.583331,105.766681 4.583153,105.766672 4.466511,105.634583 4.466511,105.634583 4.333331,105.5 4.333331,105.5 4.383331,105.366669 4.45,105.333339 4.45,105.333339 4.5,105.383331 4.5,105.383331 4.633331,105.291661 4.633331,105.291661 4.666669,105.233331 4.666669,105.351969 4.864219)),((105.351969 4.864219,105.4212 4.980939,105.57875 4.933639,105.632231 4.947169,105.695 4.8975,105.562769 4.864219,105.351969 4.864219)))",,Anambas
L100000324541,"APLNG Gas Project (Queensland, Australia)",,gas,Australia,Queensland,unconventional,operating,,2024,,,,Australia Pacific LNG,China Petrochemical Corp [25%]; Origin Energy Ltd [27%]; ConocoPhillips Corp [47%],ConocoPhillips Corp [47.5%]; Origin Energy Ltd [27.5%]; China Petrochemical Corp [25.0%],,"L100000310655, L100000310666, L100000310625, L100000310703, L100000310632, L100000310718, L100000310596, L100000310691, L100000310719, L100000310714, L100000310698, L100000310620, L100000310623, L100000310700, L100000310664","https://www.gem.wiki/APLNG_Gas_Project_(Queensland,_Australia)",,-23.7558300,151.1906100,exact,project level location,onshore,,Surat,PL 1011; PL 1018; PL 195; PL 216; PL 225; PL 226; PL 263; PL 265; PL 297; PL 403; PL 404; PL 407; PL 412; PL 470
L100000317496,Area 1 Gas Project (Mozambique),,gas,Mozambique,,conventional,in-development,,2025,,2019,,TotalEnergies,TotalEnergies SE [26%]; ONGC Videsh Rovuma Ltd [10%]; ENH Rovuma Área Um SA [15%]; Other [28%]; Mitsui E&P Mozambique Area1 Ltd [20%],Other [28.5%]; TotalEnergies SE [26.5%]; Mitsui & Co Ltd [20.0%]; Empresa Nacional de Hidrocarbonetos de Mozambique [15.0%]; Oil and Natural Gas Corporation (ONGC) [10.0%],,,https://www.gem.wiki/Area_1_Gas_Project_(Mozambique),,-10.9704000,40.8465000,exact,project level location,offshore,,Rovuma,Area 1
L100000310995,Assa North-Ohaji South Oil and Gas Project (Nigeria),,oil and gas,Nigeria,,conventional,operating,ramp up,2026,1992,2019,2026,ANOH Gas Processing Company,,,,"L100000317034, L100000310995, L100000317035",https://www.gem.wiki/Assa_North-Ohaji_South_Oil_and_Gas_Project_(Nigeria),ANOH,6.8501000,5.4380000,exact,project level location,onshore,,,OML 21; OML 21 (Assa North); OML 53; OML 53 (Ohaji South)
L100000312045,"Astrakhanskoye Gas and Condensate Project (Astrakhan region, Russia)",Астраханское,gas and condensate,Russia,Astrakhan region,conventional,operating,,2019,1976,,,,,,"Rosnedra License ID: АСТ14553НР, Rosnedra License ID: АСТ14552НР, Rosnedra License ID: АСТ16480НР, Rosnedra License ID: АСТ16065НР","L100000319021, L100000318893, L100000312045","https://www.gem.wiki/Astrakhanskoye_Gas_and_Condensate_Project_(Astrakhan_region,_Russia)",АГКМ,46.9149000,47.9725000,exact,project level location,onshore,,Pre-Caspian,Astrakhanskoye oil and gas field Levoberezhnaya chast; Astrakhansky Pravoberezhny; Severo-Astrakhansky; Yelenovskaya struktura
L100000319008,Auca Oil and Gas Project (Ecuador),Activo Auca,oil and gas,Ecuador,,conventional,operating,,2018,,,,EP Petroecuador,,,,"L100000319008, L100000304604",https://www.gem.wiki/Auca_Oil_and_Gas_Project_(Ecuador),,-0.6077,-76.8992,approximate,location derived from fields,onshore,,Oriente,B61 + B55; B61 - AUCA
L100000320658,Awali Oil and Gas Project (Bahrain),بحرين,oil and gas,Bahrain,,conventional,operating,,2023,1932,,1932,Tatweer Petroleum,Tatweer Petroleum [100%],Nogaholdings [100.0%],,"L100000320658, L100000318001, L100000318002",https://www.gem.wiki/Awali_Oil_and_Gas_Project_(Bahrain),Bahrain,26.0333000,50.5320000,exact,project level location,onshore,,,
L100000310999,Awoba Oil and Gas Project (Nigeria),,oil and gas,Nigeria,,conventional,mothballed,,2024,1958,,1972,Newcross,Newcross [45%]; NNPC E&P Ltd [55%],Newcross Petroleum Ltd [45.0%]; NNPC Ltd,,,https://www.gem.wiki/Awoba_Oil_and_Gas_Project_(Nigeria),,,,,,offshore,,,OML 24
L100000324417,Ayacucho (Area) Oil Project (Venezuela),,oil,Venezuela,,,operating,,,,,,,,,,L100000320732,https://www.gem.wiki/Ayacucho_(Area)_Oil_Project_(Venezuela),,8.4704,-64.1453,approximate,location derived from fields,onshore,"MULTIPOLYGON (((-64.5064445412703 8.68360588680504,-63.9917145642133 8.66987975408352,-63.9162208342449 8.59438602411515,-63.8235694383746 8.63556442227971,-63.7720964406689 8.78998341539682,-63.5593413834854 8.80370954811834,-63.3568809258429 8.8963609439886,-63.3465863263018 8.83802487992214,-63.4083539235486 8.75223655041264,-63.4023570951424 8.51428293196101,-63.4016370407046 8.27558943522343,-63.3980593240075 8.19632817519106,-63.4661119824471 8.15819638091861,-63.5506593117133 8.14907256840788,-63.6364231493142 8.14907256840788,-63.6760135116183 8.12769751158346,-63.7094136494001 8.13812399339499,-63.7716665715973 8.14246976285264,-63.820749845875 8.12283645314157,-63.888574006695 8.0335941362731,-63.9333785001468 7.96641545210559,-63.971125365131 7.94582625302331,-64.0617494425423 7.95441116704737,-64.1259343785133 7.98650363503288,-64.2146606135321 8.09316389627885,-64.3175452903092 8.09222000016163,-64.3579885934232 8.03002444359836,-64.4119349020313 7.99688649232231,-64.4402517855479 8.04030571371447,-64.4732881496506 8.05257636323835,-64.5123778016056 8.02734717409231,-64.5064445412703 8.68360588680504)))",,
L100000319176,Azadegan Oil Project (Iran),,oil,Iran,,conventional,operating,,2025,1997,,,Arvandan Oil and Gas,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],,"L100000312170, L100000312172",https://www.gem.wiki/Azadegan_Oil_Project_(Iran),,31.1613000,47.7945000,exact,project level location,onshore,"MULTIPOLYGON (((47.7977202106993 31.5396649391627,47.8605038166655 31.5373042136661,47.8646586141191 31.4802352004896,47.8581955958579 31.3703285999795,47.9034367236864 31.3474644673221,47.8715832765418 31.2133216075863,47.8983586379098 31.1311637569175,47.8715832765418 31.0315309649165,47.8235722837442 31.0307398108831,47.788487327469 31.0568444233373,47.7847941741769 31.1406471454768,47.7413996229944 31.2038454935467,47.7450927762865 31.2756823146089,47.7940270574072 31.3506184713555,47.7737147143005 31.4317976303926,47.7977202106993 31.5396649391627)))",,
